\beta,\phi,p,r
0.0,0.0,0.0,0.0
0.00016555807079900306,0.0006663619621848351,0.012376430968246761,-0.0021945174480656913
0.0005627415332060754,0.002318318900451988,0.020018445486685157,-0.004523090529870894
0.0011963819840361473,0.004563091309641275,0.024435519872445,-0.006744521791614378
0.0020473485612946566,0.007131859029901597,0.02663538997236917,-0.0086770038325266
0.003079298426991361,0.009839531889323854,0.027309475865461154,-0.010188610358912255
0.004244235297585649,0.012559493127534,0.02695125788404977,-0.01119117386451401
0.005487280820333241,0.015207734819155225,0.025928435899158546,-0.011636237238163344
0.006750910167938645,0.017732505319438836,0.024523084078906465,-0.011512244083673658
0.007978774883456935,0.020106881334607706,0.022951970398652197,-0.010841917145091301
0.009119071258630852,0.022322830435411455,0.021377613601559087,-0.009678191713204312
0.010127221414923218,0.024386226976999333,0.01991712331381292,-0.008096973425101812
0.010967544629234126,0.026312780806355317,0.018651814850834517,-0.006186646752695087
0.011613848539057402,0.02812498418217346,0.017637827470977297,-0.004038578946083518
0.012049668543557978,0.029850159624805663,0.01691752992562242,-0.0017486149286381838
0.012270100347596133,0.031519733513876914,0.016532998446101652,0.0005576847181667465
0.012288084758948338,0.03317001713049971,0.016542777827934216,0.0026699696637968624
0.012147343037191265,0.034844614510653946,0.01703581199244623,0.004222654281285003
0.011940787309700324,0.036597300378348144,0.018122489298682713,0.004652634716504426
0.011827685055760161,0.038491824562580684,0.01987855514905416,0.0032433288322918836
0.012038667000600946,0.04059365236872147,0.02224328673361898,-0.0007171243916568497
0.012859744023801236,0.04295110021874494,0.024921154785227488,-0.007710934552917678
0.014595898034319679,0.04556988522521045,0.027360609135787348,-0.01780898541777685
0.017525375331630712,0.04839114298798835,0.028845084080558945,-0.030624198766531288
0.021859195620871786,0.051282743797367414,0.028655277514903092,-0.04540212907281291
0.02771490637582234,0.054046976087787725,0.026219778520771952,-0.06117427311205076
0.03510516064871614,0.05644006622081736,0.02119554924100168,-0.07689392952770091
0.04393648282081723,0.05819584812572617,0.013473789662738487,-0.09151808719059507
0.05401272024471298,0.059047407938585775,0.003139325211435383,-0.10403622335730425
0.06503849272961254,0.05874357729517687,-0.009587913995156589,-0.11345441074734697
0.07661878580779966,0.057059619973728645,-0.02440700663145369,-0.11874491771859355
0.08825324358775104,0.05380380087234194,-0.040959323868949765,-0.11879567314868694
0.0993294279715566,0.048824317504213365,-0.05879422593753221,-0.11242701373370756
0.1091264508504533,0.04202284870901079,-0.07727305419308426,-0.09854384495980113
0.11684376465195205,0.03337934050676484,-0.09545044820313578,-0.07643420065854181
0.12166444033881937,0.02298661864510533,-0.11201159696456847,-0.046125605226293734
0.12284757301082029,0.01108502185553776,-0.12534596354502034,-0.008630561806459828
0.11982775891900121,-0.0019184741866796807,-0.13378124383767792,0.034071283697383235
0.11229255797789414,-0.015459924386473369,-0.13590574175446188,0.07933468902354977
0.10021810872310045,-0.028859086158998175,-0.1308408339628303,0.1242926847184747
0.08386244175428749,-0.04137992016061698,-0.11835292234812561,0.1662430510604908
0.06373115975921664,-0.052293508625300335,-0.09879786125354963,0.2028636118660932
0.04053241260408844,-0.06093013384125337,-0.07297682791336357,0.23227370706201833
0.015131600894619263,-0.06671616911222462,-0.041987917242501664,0.2530161777660943
-0.011489532377004615,-0.0691975654353847,-0.007107462990761591,0.26400219391289176
-0.03826584497906978,-0.06805284228855675,0.030303359374737493,0.26441906827526906
-0.06407102497751886,-0.06309815447246694,0.06885995368813184,0.25362323798733416
-0.08773334975639886,-0.05428934112838705,0.10714483100567487,0.23111378714280567
-0.10806131591865166,-0.04172974943789743,0.14360082318227224,0.19670858948755152
-0.12390178373785288,-0.025691672265090337,0.17638301308638682,0.15094108294109573
-0.1342419155028952,-0.006648732424025624,0.20331759685595685,0.09549589914050327
-0.13833819373064277,0.01469915127173144,0.22210863720335353,0.033375839324211176
-0.1358306918858982,0.03743410535269186,0.23077877316636422,-0.031391964704915044
-0.12680155566289406,0.06047645538381212,0.22813878982080588,-0.09439860355483072
-0.11176445269165565,0.0826789287640706,0.21404499290552131,-0.15151734261463407
-0.09160223776186299,0.10293177745646857,0.1893646425022102,-0.1993300636008246
