\beta,\phi,p,r
0.0,0.02389374725311479,0.0009548391730659704,0.0025243995042422405
0.00016699081810923663,0.02465250814035238,0.013270218447213992,0.00017517682110324288
0.0005809720230819101,0.026390790800230452,0.020850383169072097,-0.0022947511508165826
0.0012448839134253083,0.02871538881854722,0.025198649906723783,-0.004638876736070522
0.0021372565002291083,0.031356647195777736,0.02732050708628517,-0.006671044517167041
0.003219070906765478,0.034128557467355665,0.027907776474588232,-0.00825617027256639
0.004439447045711247,0.036903718115788936,0.027456077662872613,-0.00930424855907682
0.005740552047630308,0.039597608205325555,0.02633630788374433,-0.009766346045537912
0.007061971852523442,0.04215831349212264,0.024834275909303247,-0.00963175518789606
0.008344661343642208,0.044559131071561564,0.023170615082787567,-0.008925268238387936
0.009534424987288088,0.04679262839994364,0.02151152212531904,-0.007702950126365736
0.010584690213384434,0.04886562766157105,0.019977352298091864,-0.006044692261333178
0.011458247571432337,0.05079508170016881,0.018652053550653133,-0.004043486858770691
0.012127885226767807,0.05260495306550149,0.0175936626827702,-0.0017956800811236243
0.012576645448133382,0.054324184521142585,0.01684564289712661,0.0005977872666352599
0.012799648691204526,0.055985891024271574,0.016450343510251198,0.003006386902907161
0.012810346240702753,0.05762805960706672,0.016465787569963253,0.005215153908444424
0.012653402586567386,0.059295880727917666,0.016979668028896135,0.00685443640021346
0.01242303574742401,0.06104455794659978,0.018100491165283325,0.007357770629777372
0.012280098833433705,0.06293905521723117,0.019901612494230187,0.006006036501480539
0.012456996834706198,0.06504579340311979,0.022319552234292515,0.0020857271535880484
0.01324160899619595,0.06741375667171692,0.025055807240430092,-0.0048860965670783655
0.01494078636858054,0.07004902798662807,0.027555788374410937,-0.01498015195490508
0.017834557361078182,0.07289280777628251,0.02909997196124237,-0.0278083593940991
0.022135558256739025,0.07581274505304876,0.028966312690897205,-0.04261453369616405
0.02796272151491452,0.07861064830491467,0.026580987039326823,-0.05842781927423267
0.03532980232114862,0.08104204321427592,0.02159896863811359,-0.07419869657227829
0.04414410940475338,0.08283988833262358,0.013909961128985227,-0.08888103042552682
0.054209938744309155,0.08373627121301826,0.0035978267047734654,-0.10146103306647844
0.06523202194407074,0.08347895591591271,-0.009117921133809586,-0.11094153286977297
0.07681513427116964,0.08184212387899253,-0.023936244013147277,-0.11629172561476706
0.08845841652176134,0.0786329945901451,-0.040497899619281325,-0.1163967734095831
0.09954867528509809,0.07369880397075722,-0.0583511965760002,-0.11007466370809287
0.10936406557702459,0.06694039325253047,-0.07685606192876708,-0.09622845575760636
0.11710293829022175,0.05833702678831943,-0.09506544619041053,-0.074144896934928
0.12194717850570776,0.04798102733555527,-0.11166267018823178,-0.04385081209089238
0.1231546717823118,0.03611242230868457,-0.12503524805921618,-0.006358589691426847
0.1201588393624367,0.023138070964015756,-0.13350894230391785,0.036351683547489334
0.11264615379589094,0.0096219907589546,-0.13567022882531096,0.08163382277301078
0.10059179973769579,-0.0037553291942277415,-0.13063884122346497,0.1266194882378509
0.08425302423998088,-0.01625745078354206,-0.11817978940444529,0.16860475197719857
0.06413484343801595,-0.027154933002170586,-0.09864783724725137,0.20526549189958088
0.04094503346940489,-0.0357774423868676,-0.07284340631129102,0.23471896984091278
0.01554883893160143,-0.04155067838455557,-0.04186418620492773,0.25550592206363276
-0.01107194108721081,-0.04401989511851707,-0.006986453943615101,0.26653548729158133
-0.03785191139516886,-0.04286292625904731,0.030428341221668397,0.26699311171543966
-0.0636643338105555,-0.03789528340381819,0.0689950313210821,0.2562336083629557
-0.08733691649306553,-0.029072232758962507,0.10729530214472446,0.23375474153396694
-0.10767747906631427,-0.016496641559161185,0.14377096062827743,0.19937341336750036
-0.12353213525673011,-0.0004404327141810453,0.17657592505212,0.15362246328351545
-0.13388727042177204,0.018623020093907997,0.2035351502734072,0.09818630344930977
-0.13799859804369735,0.039993921847450896,0.22235144386471772,0.036067882439247426
-0.13550546608464284,0.06275439917557653,0.23104623561482154,-0.02870518252046178
-0.12648936974150798,0.08582466139326923,0.2284292012853436,-0.09172320141086172
-0.1114634272337343,0.10805721567518471,0.21435568337595098,-0.1488584179847539
