\beta,\phi,p,r
0.0,-0.6036398634724228,0.013382627095297946,-0.053933288990973105
-0.0011252150234575728,-0.6018022232586201,0.02276918165737653,-0.05326067007867506
-0.002238102688488367,-0.5991835722890326,0.029211163433772606,-0.05331921580737447
-0.00326720189294764,-0.5960230597703157,0.03374831375607523,-0.053968350703981614
-0.004157466362885408,-0.5924743148707158,0.037065111358564364,-0.055078120031040005
-0.004868502415193657,-0.5886368989815384,0.03957150424133252,-0.05652515731510391
-0.005373327428492562,-0.5845799079491467,0.041479181472857035,-0.05819164104490096
-0.00565724213494491,-0.5803583855472978,0.04286712972238567,-0.05996757396300981
-0.005716536438967744,-0.5760238086948861,0.04373630666635077,-0.06175424903501456
-0.005557086421948525,-0.5716287348123346,0.0440779103310073,-0.06346455354901998
-0.0051932916650301655,-0.5672223685760505,0.04399311109183513,-0.06501615693145067
-0.004647917943319193,-0.5628306923731271,0.043881950125584476,-0.06631792117891788
-0.003952950728292558,-0.5584160259590112,0.044649819207143976,-0.06725728963371624
-0.0031505189266156923,-0.5538214357326604,0.04776656323023494,-0.06770318502219366
-0.0022917773847144413,-0.5487261133670962,0.054949432519164815,-0.06753801776340851
-0.0014313580173621874,-0.5426553342364492,0.06740085027559109,-0.0667161348785029
-0.0006168270424669818,-0.5350764840846042,0.08494629999962522,-0.06531739381163783
0.0001235416844858885,-0.5255592962493135,0.1057334970296491,-0.06354890306432857
0.0007882617010478172,-0.5139195715558262,0.12687704523374976,-0.06167554145261329
0.0014004529999202737,-0.500263632370905,0.14566856851770738,-0.0599173106427608
0.0019969332383498535,-0.4849175663109445,0.1605279466953862,-0.058379154665994984
0.002614660855539435,-0.46829762011455456,0.1711995937562326,-0.057047306800916575
0.0032807811673875764,-0.4507952490160853,0.1783322103577832,-0.05583481893839387
0.004008830080729805,-0.43271648223565873,0.18289278865560765,-0.05463622036379391
0.004799874462428702,-0.41427295924778673,0.18575514257081932,-0.05336299215418295
0.0056458397501266576,-0.3956010022482635,0.1875445581272052,-0.05195453718100546
0.006532820532759478,-0.37678661343739267,0.18865338892836186,-0.05037387466978697
0.007443452317039314,-0.357885151173108,0.1893155545566819,-0.04859930115809186
0.008358398719480707,-0.33893360582564636,0.18967369937719297,-0.04661860179664497
0.009257386606986192,-0.3199574179140075,0.18982120628021665,-0.044427309726240864
0.010120167864665132,-0.30097416723337406,0.18982442597349522,-0.0420296223580368
0.010927566045104779,-0.28199568724500673,0.18973292166717518,-0.03943984507117781
0.011662554544415515,-0.2630295267375993,0.1895830958224553,-0.0366825583834805
0.012311184316800738,-0.24408013145533958,0.18940137018304956,-0.033790602933123165
0.012863182882795513,-0.22514952061432975,0.18921146172995323,-0.03080145923543932
0.013312182340272982,-0.20623709530876821,0.1890434300138425,-0.027753746899927306
0.013655695505337802,-0.18733871240161873,0.18893829900101738,-0.02468530496139374
0.013895024204643565,-0.1684456585255736,0.18894546047498884,-0.02163307153131244
0.014035223267703147,-0.1495441923063295,0.18911435243775504,-0.018633826063036905
0.014085094808500431,-0.13061609234107213,0.18948312525513855,-0.015724137816596397
0.01405702841921248,-0.1116403172739873,0.1900687042606587,-0.012938126465793225
0.013966484190364952,-0.09259536020224611,0.19086367058397785,-0.010303561110387657
0.013831114174557381,-0.07346152651283461,0.19184027492898248,-0.007838838888931922
0.013669763097942714,-0.05422269643841768,0.1929553456804054,-0.005552955041456788
0.01350163500623339,-0.03486778384440284,0.194151132738046,-0.0034479922312257187
0.013345717366518907,-0.015392247979349639,0.19535442381795343,-0.0015215673055043477
0.01322029933710995,0.004200507382896157,0.1964809848300024,0.00023311760460895939
0.013142326548590133,0.02389867005463732,0.19745018999654954,0.0018297797680295537
0.013126484554953256,0.04368341873372015,0.1982061854659909,0.003291857543612123
0.013184175567634323,0.06353228078162916,0.19873337355558585,0.004652844662113031
0.013322706624555298,0.08342326804978269,0.19905530283057535,0.005953352109134133
0.013544925532674324,0.10333804112918135,0.19921758701990844,0.007236365642550193
0.013849347516986417,0.12326300391808556,0.1992659743853101,0.008542625964568085
0.014230674813872649,0.1431884886143748,0.19923182001835962,0.009907227150472682
0.014680546624415185,0.16310712172674222,0.19913041838571854,0.011357914783750417
0.015188329768170876,0.18301256996952986,0.1989691590583561,0.012915217580184222
0.015741793930747996,0.20289927706762834,0.19875773270686375,0.014593819702135778
0.016327626941601878,0.22276302283277963,0.19851349320216577,0.016403947164147
0.016931863819735733,0.24260165451256943,0.19825955505231901,0.01835176116726151
0.017540355187748404,0.2624153385829151,0.19801775964123597,0.02043847512065233
0.01813937934389907,0.28220605187552367,0.19780147256054562,0.022658632284151135
0.018716411334808034,0.30197657519085086,0.19761369461456366,0.02499870654986165
0.01926092200817182,0.3217296806379475,0.19745279524932138,0.02743744665436156
0.019764982233549423,0.3414681296623631,0.19732172313696178,0.029948545879508306
0.0202234833874315,0.3611954345500392,0.1972326682673376,0.03250478300185843
0.020633943561599234,0.3809166632595501,0.19720326582293704,0.03508186150571635
0.02099604998486885,0.40063858288296605,0.19724844398974678,0.03766032978009351
0.02131117843270831,0.4203690677204148,0.19737494487354384,0.04022512028256178
0.021582069407881117,0.44011624303792996,0.19758151574135294,0.042763719528958764
0.021812681938239407,0.45988785314062886,0.1978624995472702,0.04526459736450117
0.02200811951563936,0.4796909851792897,0.19821068143575532,0.04771686312284617
0.022174503103628174,0.4995319181450381,0.19861669521818515,0.050111042788250446
0.022318722838184254,0.5194157373860178,0.19906521570463429,0.05244031802368586
0.022448068622564803,0.5393455336582463,0.19953123164777242,0.05470161460026474
0.02256978953373477,0.5593214390684237,0.19998138755889244,0.056896135667341384
0.022690665124650695,0.5793401995265637,0.20038360525623414,0.05902905808361539
0.02281668534725939,0.599396048952053,0.2007225284876227,0.0611083172868973
0.022952908873876614,0.61948306466021,0.20101172683601792,0.06314283083651154
0.02310349992368383,0.6395981086575163,0.2012914445594457,0.06514086017692125
0.02327187127151995,0.6597426106292035,0.2016080244175335,0.06710916666332968
0.02346083136080891,0.6799217453272041,0.20198527425060905,0.06905316788580687
0.02367266436296907,0.7001411238819192,0.2024067509433722,0.07097768205236722
0.02390913820622977,0.7204028323977101,0.20282132357233904,0.07288756268402166
0.02417147775639611,0.7407030279051388,0.20316613785298285,0.07478786250573681
0.02446032793866978,0.7610319454948866,0.2033883675582736,0.07668377542365891
0.024775690847081058,0.7813754490803084,0.20345362633701128,0.07858092772291995
0.025116794417031792,0.8017168815414072,0.20334557715916177,0.08048632074711276
0.025481870414386397,0.8220389107504995,0.20306795278213374,0.08240950821267487
0.02586789345475857,0.842325874664678,0.2026519334422856,0.08436296676521358
0.02627042567068236,0.862566810079304,0.2021602669405052,0.08636061840686149
0.026683754798504218,0.8827582865203665,0.2016780020810013,0.08841435552372941
0.027101431762940106,0.9029056028606431,0.2012902361297841,0.09052996543654725
0.02751710075175912,0.9230215398059826,0.20105783215183223,0.09270489419496246
0.027925311423833966,0.9431230756827046,0.20100244243677012,0.09492940945991506
0.028322004649776685,0.9632273202300321,0.20110622251894256,0.09719034302031214
0.028704578984542508,0.9833481721479381,0.20132626466714748,0.09947494487150944
0.02907169148811668,1.0034949467609875,0.2016180894825289,0.10177267523324574
0.02942305212216653,1.0236733137320364,0.20195578615085652,0.1040744291406523
0.029759384167166277,1.043887528736623,0.20233602524823083,0.10637057815591555
0.030082514195245835,1.064142113851918,0.2027638967001776,0.10865010913734448
0.03039537695689084,1.0844416391329792,0.2032318356624166,0.11090229289001943
0.03070171469346128,1.1047886937495885,0.2037068111004702,0.11312024745996895
0.031005430617750098,1.125181350523937,0.20413331493869413,0.11530413529598575
0.031309782175328815,1.1456116118036346,0.20444863230129418,0.11746191629845103
0.03161670423047326,1.1660656239829892,0.20460131773066206,0.11960719365869252
0.03192648815003508,1.186525527018154,0.20456411729401386,0.12175525859889924
0.03223787790826314,1.206972002226843,0.20433380690911312,0.12391903464953274
0.03254850274650596,1.2273858707066976,0.20391136560446904,0.1261058195935597
0.03285556522709098,1.2477465466307818,0.2032585404916931,0.12831418093978575
0.033156783671444486,1.268024975273733,0.20223151600941763,0.13053019827033133
0.033451550802370104,1.2881689918995665,0.20049678945113203,0.13272388807620203
0.03374208003831417,1.3080798017081123,0.1974401237341282,0.13484793413078344
0.03403412689924328,1.3275801612331515,0.19209900241386701,0.13684081857682073
0.03433678276178056,1.346379572140425,0.18318452070207286,0.13863625155511264
0.03466081039708529,1.3640494396899732,0.16927078295794423,0.14018016480396694
0.03501512775037618,1.380026516406862,0.14916471123831065,0.14145305880076875
0.03540161449189953,1.3936581186505541,0.12234160129693351,0.1424893882298006
0.03580938247257562,1.4042863346136465,0.08925652078792135,0.14338324166735025
0.03621032723542819,1.41135165972588,0.05141344820995546,0.14427636854835657
0.03655748330833859,1.414491582042948,0.011206720367358352,0.14533393895856336
0.03678686253193814,1.4136138111249215,-0.028425238196966636,0.1467132525184955
0.036823032828466,1.4089255883424519,-0.06453411280745183,0.1485253060297865
0.03658846034015985,1.4009030182790816,-0.09479863412198185,0.15079429423974022
0.03601550827204155,1.3902015038803717,-0.11801165115571402,0.15343260815867585
0.035058264858432615,1.3775356890095163,-0.1341743679810411,0.15624829857124584
0.033700818524438673,1.363570974615173,-0.14419477596743982,0.1589835165835634
0.03196005147370839,1.3488559831259113,-0.1494211790646583,0.16136444722206775
0.029883339515134028,1.3337987423847584,-0.15127074635842006,0.16314172709937055
0.027543031687503206,1.3186695293751578,-0.1510732703525011,0.16411236203841129
0.02502963932078594,1.3036094748332094,-0.15009701013624138,0.1641264513965845
0.022444888416017952,1.2886318784102904,-0.14964807209241004,0.1630867092140316
0.019894967885301814,1.2736148920284438,-0.15112467131887475,0.1609479918405783
0.01748374624931139,1.2582950849117522,-0.1559326889724751,0.1577217575150216
0.015305529728608819,1.242277790619488,-0.16523775546802777,0.15348602840765171
0.01343728916003555,1.2250773851560943,-0.1796379122974328,0.14839465802246338
0.011931157173282766,1.2061877368387999,-0.19891701187060612,0.14267557783408513
0.010808799356056595,1.1851675993890392,-0.2220063698382129,0.13661152061205184
0.010059284117611698,1.161718063461679,-0.24717654757938257,0.1305055580034099
0.009641285072591543,1.135731536288082,-0.2724017894343266,0.12463973476235643
0.009489402827200268,1.1072994609226097,-0.29580301209298265,0.11923632430764718
0.009523448549274408,1.0766770621801298,-0.3160392829508771,0.1144312014687053
0.009658772806324902,1.0442175739691764,-0.3325036620550319,0.11026723626609047
0.009815401606706093,1.010300421734634,-0.34524356949075063,0.1067097697169268
0.009924169665401739,0.9752799316474358,-0.35464686212192986,0.10367807596437606
0.009929135002898399,0.9394718521656075,-0.3610259209724641,0.10108129873772058
0.009786847455711392,0.9031800808375081,-0.36425464420814213,0.09884660893878566
0.009464069439327396,0.8667511235396819,-0.36359843765193733,0.09692974395769703
0.008936047000905617,0.8306315626017099,-0.35783584685182596,0.09530337181510853
0.0081871373895004,0.7953985743633827,-0.34566271630795464,0.09392855088702984
0.0072143128089791776,0.7617423622508039,-0.3262079470821754,0.09272559873167766
0.006032248033844927,0.7304021122077812,-0.2994036678704433,0.0915626291403869
0.004677565279625947,0.7020796179013317,-0.2660501108376023,0.09026840122448887
0.003210165010136766,0.6773607271604491,-0.2276177506103415,0.08866102980534817
0.0017109667443694465,0.6566627737074723,-0.18595853092772627,0.08657804716889357
0.00027670885651900055,0.6402089765893275,-0.14307168316560054,0.08389818740148564
-0.0009870532243036305,0.6280222673605975,-0.10093987164091599,0.08055496132656108
-0.001973965072348284,0.6199351657211059,-0.06135531619564135,0.07654772309998809
-0.002585557984342116,0.6156191669235723,-0.02571009894545103,0.0719511153882615
-0.0027399321437824088,0.6146327959218099,0.005138814052755693,0.06691460815755201
-0.002379002159590197,0.6164742590762666,0.03081624377378757,0.0616453175881261
-0.001472929274454912,0.6206210210132421,0.05124898688856355,0.05638089691419486
-2.1609658265137138e-05,0.6265525070787367,0.06653942422064665,0.051367043442360615
0.001945799919796004,0.6337668116025782,0.07696817666775152,0.04684530791887458
0.0043725006673272435,0.6418007805695455,0.08303348705955013,0.04304432401146915
0.007176873708816543,0.6502509398983756,0.08541647870793465,0.040166601654616566
0.010256948484447814,0.6587865169838352,0.08486683499514745,0.03837106103856229
0.013496548891329436,0.6671499220817787,0.08208081340805488,0.037757445576998595
0.016772491039163787,0.6751474182117801,0.07763366216863563,0.0383584410617412
0.01996184088596962,0.682636573903321,0.07198181317189778,0.0401416874687037
0.022948308176571668,0.6895168836249495,0.06552045861013706,0.04302011042716694
0.025627257469149792,0.6957277938037347,0.05866846327485088,0.04686596943349491
0.02790939552972217,0.7012547423027609,0.0519341460823733,0.05152238326281382
0.02972368916073414,0.7061384804058306,0.04590614657413304,0.05680786407232665
0.031020126695990573,0.7104786066041565,0.04114805442273995,0.06251521107229403
0.03177240122892018,0.714423447670557,0.03804452845270394,0.06841212641838045
0.031979797237179,0.71814591486069,0.03669145162476926,0.07425153502935719
0.031667160437808504,0.7218138167899484,0.0369028847809914,0.07979335604938337
0.030882247488842097,0.7255672036574919,0.03833903538971507,0.08483089292683714
0.029690770601992454,0.7295120240508628,0.04068880169678738,0.08921080376767929
0.028170384982922306,0.733730713246731,0.043809184331066994,0.09283876429268739
0.02640514253519469,0.7383012340266564,0.047745983941940844,0.09567037088815687
0.024481488376789307,0.7433113558713765,0.05262116584535215,0.09769339350348269
0.022486027035949607,0.7488571639550371,0.05844549352550608,0.09891047344913544
0.020504438366019884,0.7550234990494139,0.0649648264074543,0.09933034817027749
0.018620430688914922,0.7618548363641869,0.07163412208118389,0.09897098590534333
0.01691371662530512,0.769330924248493,0.07773276682741992,0.09787144213437449
0.015456649027237406,0.7773584504865915,0.0825539276699547,0.09610483075720778
0.014309949452788255,0.7857817953050072,0.08558496180232023,0.09378561246988966
0.013518409210040267,0.7944091668316149,0.08662986688204662,0.09106862811101402
0.013107440901869312,0.8030470450918002,0.08584969280992072,0.08814037211083446
0.013081172859031919,0.8115338397764877,0.0837040419261405,0.0852035699881965
0.01342257811461174,0.8197629553029333,0.08080256954845913,0.08245683491129142
0.014095799592367312,0.827688631004057,0.07772208699092743,0.08007351736374906
