\beta,\phi,p,r
0.0,0.02389374725311479,0.0009548391730659704,0.0025243995042422405
0.00016699010990755994,0.0246525058819759,0.013270180075779289,0.0001751866328429815
0.000580969628040446,0.026390784124110674,0.020850336736469417,-0.0022947312476522923
0.0012448789599604963,0.028715377779516167,0.025198610796268985,-0.004638848599537606
0.002137248403029761,0.03135663292499798,0.027320482237322086,-0.0066710113172756495
0.003219059462729105,0.03412854152748194,0.02790776802107561,-0.008256135863210072
0.004439432467704473,0.03690370213141772,0.027456084956023752,-0.00930421697641229
0.0057405349500066335,0.03959759364680816,0.0263363286286628,-0.009766321097420105
0.007061953198734354,0.042158301547403326,0.02483430684147109,-0.009631740119335024
0.008344642364770378,0.04455912257298083,0.023170652418059712,-0.0089252654705095
0.009534407080167813,0.046792623789783126,0.021511561896535178,-0.007702961075317533
0.010584674827675476,0.048865626987655224,0.019977390623511768,-0.006044717249012829
0.011458236095825443,0.05079508463552927,0.018652086847566758,-0.004043525123891865
0.012127878883943767,0.05260495894677197,0.017593687828796747,-0.0017957298783184178
0.012576645204153619,0.054324192400501,0.01684565734061169,0.0005977285334211769
0.01279965517647261,0.055985899730022874,0.016450345334331574,0.0030063226139491685
0.0128103596683403,0.05762806780894832,0.01646577552735517,0.005215088344730284
0.012653422646713068,0.05929588700648356,0.01697964160014149,0.006854375088233599
0.012423061463089935,0.0610445608739707,0.01810045074761819,0.0073577207779264055
0.012280128392268956,0.06293905346844873,0.0199015598401966,0.006006007167646387
0.012457027453434587,0.06504578592457638,0.02231949114003807,0.0020857287055925057
0.01324163690359627,0.06741374292155093,0.025055744238001523,-0.004886053896337925
0.014940806979745438,0.07004900822642408,0.027555732988274857,-0.01498006013324057
0.017834565658845034,0.0728927833506239,0.029099936168855953,-0.027808214617453798
0.022135549328623574,0.0758127185735399,0.028966309582542975,-0.0426143377439018
0.027962691153946766,0.07861062367421923,0.026581029037899002,-0.05842757991545667
0.035329747598868595,0.08104202547028568,0.021599065757657503,-0.07419842712374368
0.04414402914964232,0.08283988333550735,0.013910119613216284,-0.0888807487450617
0.054209833889455925,0.0837362852211164,0.0035980481707576974,-0.10146076027731575
0.06523189573520918,0.08347899510051023,-0.009117640074751708,-0.11094129207488253
0.07681499234882122,0.08184219382036964,-0.02393591177542959,-0.11629154080424357
0.08845826690209121,0.07863309978181394,-0.040497529493876,-0.11639666860671223
0.09954852825080425,0.07369894733809595,-0.05835080662200111,-0.11007466212026965
0.10936393344892724,0.06694057567532806,-0.07685567500418089,-0.09622857844288846
0.11710283500055838,0.05833724661874546,-0.09506508996463818,-0.07414516050019168
0.12194711887266607,0.047981279933697295,-0.11166237668908156,-0.04385122535462789
0.12315467042702673,0.036112699670524856,-0.12503505219119693,-0.0063591499550924805
0.12015890931631928,0.023138361564423403,-0.1335088790107164,0.036350993396390335
0.11264630497115213,0.009622279738683728,-0.1356703291358519,0.08163303512853975
0.10059203750704354,-0.003755059423275024,-0.1306391280095816,0.12661864913066379
0.08425334835296504,-0.01625721953757895,-0.11818027387400544,0.16860391736330382
0.06413524741407148,-0.02715476004189705,-0.09864851686641364,0.20526472285337916
0.04094550450951476,-0.035777346505032497,-0.07284426428667246,0.23471832755792127
0.015549358321389322,-0.04155067600964141,-0.04186519226273316,0.25550546324510565
-0.011071397150880763,-0.04401999904642885,-0.006987566054557792,0.266535260261088
-0.03785137065202592,-0.042863144592057,0.03042717446671942,0.26699315355524444
-0.06366382657685149,-0.037895618747003285,0.06899386799081507,0.25623394320286547
-0.08733647419701521,-0.029072681689885964,0.10729420428756382,0.2337553796897554
-0.10767713271764663,-0.016497194349740486,0.14376999194021992,0.19937435052483946
-0.1235319138022935,-0.00044107327049804253,0.1765751487952785,0.15362367889281497
-0.13388719890436462,0.01862231407068222,0.2035346267986544,0.09818775828783693
-0.13799869556108083,0.03999317839713854,0.22235122691104073,0.036069516540623466
-0.13550574371801064,0.06275365117032004,0.23104636715011875,-0.028703449697264783
