\beta,\phi,p,r
0.0,-0.02020424098939822,0.00824649572840425,-0.004558798600948479
0.0004046314091529128,-0.01883987206706888,0.018190724120282293,-0.006611111402602168
0.0010219402173478308,-0.016707176072493307,0.023880907523841907,-0.008660789783297047
0.0018450522766201628,-0.014159619996111924,0.02667777298210757,-0.010531124603639086
0.0028558418619079617,-0.011434066387529225,0.027587901791930915,-0.012201839065549636
0.004047515593091307,-0.008677250957921557,0.027427135697754824,-0.013898417425587992
0.005455017508517886,-0.005960676153311321,0.026887996621057272,-0.016165186295077842
0.007186289282872515,-0.0032937827890211656,0.026506131451858074,-0.019838738122956317
0.009439925507706486,-0.0006448359736857418,0.026546371427424754,-0.025859636446840473
0.012494383481681906,0.0020256406733273136,0.026882204450033025,-0.034953767776243885
0.016664507602076283,0.004723296883727231,0.02697027651086872,-0.04732093006971645
0.02223716475974914,0.007383215572813072,0.025974976166489645,-0.06248724499853176
0.029407512869154117,0.009851775189722719,0.02300110280250718,-0.0793797460154286
0.038233897612676794,0.011892719432408338,0.017324620722637223,-0.096546575350626
0.04861619099621072,0.013211861528554,0.008522024560061408,-0.11237646202761734
0.060289274118714375,0.013488209459645333,-0.0035279766143420724,-0.1252052528332125
0.07281929674541711,0.012401078917100551,-0.018710607176991332,-0.13330925896933538
0.08559843841881921,0.009651441656505486,-0.03670665546747048,-0.13490105415893267
0.09784822944081589,0.004984811095218579,-0.05692553394502602,-0.12827048807545366
0.10864989011498744,-0.0017752452013120317,-0.07837364699769814,-0.11211400361547053
0.11701367640126045,-0.010681842261723024,-0.09957410989118948,-0.08593628303677613
0.1219806650357988,-0.021618880025153664,-0.1186480774137249,-0.05032074614285378
0.12273320455091488,-0.0342723673549254,-0.1335700308298174,-0.006929181192431994
0.11868693100109776,-0.04813219785883295,-0.142498351698156,0.04174938704779754
0.10954838309738736,-0.06252507471426555,-0.1440465385842072,0.09275846200819535
0.09533779277214234,-0.07666791527375162,-0.13741521847258337,0.1429958025219615
0.07638579296808837,-0.08972770364333593,-0.12239848987790897,0.18943861666286751
0.053312116308163494,-0.10087859980304992,-0.099336616031234,0.2293045640422966
0.02698942495225444,-0.1093540827691198,-0.06906864790094779,0.2601945047799542
-0.001505653899962142,-0.11449424504856613,-0.032876480637847476,0.28020662533798385
-0.030947795055191366,-0.11578547883881687,0.007617436712471731,0.2879686183708956
-0.060014474351064474,-0.11288745273674268,0.0505962363164613,0.28257105613442296
-0.08732835550727247,-0.10564597988554063,0.09416846837728882,0.26348319951111726
-0.11149835149731566,-0.09409872686128287,0.13638072325136036,0.23059626580935194
-0.13117844532116463,-0.07848531972085655,0.1751273160773745,0.1844743889661603
-0.14515980468659656,-0.059266903795644255,0.20807975200726742,0.1267147564279335
