\beta,\phi,p,r
0.0,0.0005478500165466841,-0.0030260217763249464,-0.001590954650739782
0.0005581163873266775,0.0009672783725307248,0.010336237345080193,-0.007160480311360755
0.0016786011161320736,0.002436475023849421,0.01831055595458965,-0.012924071757067411
0.003380502329582852,0.004507777562200972,0.022614952569579756,-0.018805236637556223
0.005681658781927008,0.006877577468123514,0.024445757582340993,-0.02489466337993313
0.008614586030437271,0.009342424725049614,0.024627660946275033,-0.03141340666153473
0.012235748905154246,0.011766064205288964,0.02368755102385639,-0.03864064374319117
0.016624837107421003,0.014051443650077478,0.02188598606663306,-0.046807322140768035
0.021872323412963003,0.01611535181667528,0.01924513578715324,-0.055981070561796006
0.02805752980316565,0.017867105800665233,0.015605970472114507,-0.06598694814753191
0.035223514768278695,0.01919482276844722,0.010721214361486094,-0.07639962499896831
0.04335628566762095,0.0199619203330269,0.004361428283816733,-0.08660683229600691
0.05237335219163617,0.02001349010582759,-0.0035989722026853292,-0.09591048144194884
0.06212243339763488,0.019189254684165605,-0.013138382712667741,-0.10362300655679738
0.07238779998487728,0.017338577819425122,-0.024088744265922307,-0.1091322039646782
0.08290082898804373,0.014333858974163682,-0.03616323118318221,-0.11193382443911963
0.09335231152293424,0.010080630349302401,-0.04899204698529412,-0.1116431134872174
0.10340435160463912,0.004523894561008086,-0.06216272695079067,-0.10798142589429746
0.11269811547633195,-0.002349996578043898,-0.07526963385660863,-0.10071936262155695
0.12085316643131275,-0.010516450027268648,-0.08795989842876993,-0.08958332092862083
0.12745853521376874,-0.019918667110600852,-0.0999385025931015,-0.07418764934598997
0.13206409471369035,-0.030470697275688352,-0.11090020078878549,-0.0540798959427274
0.1341867487069485,-0.042050404845143455,-0.12040313486709638,-0.02893680508992988
0.13334278595146523,-0.05447978406610231,-0.12775841330234766,0.0011544437633929441
0.12910535714329963,-0.06749889237188539,-0.132026675428714,0.03547232878723778
0.12117199279315267,-0.08074670156892076,-0.13215977498762768,0.07262230651241541
0.10942057808107244,-0.09376167489282115,-0.12723899588827275,0.11071434391251493
0.09393703162077226,-0.10600666973969032,-0.11670352523760325,0.1476754128435084
0.07501080771704238,-0.11691188596824008,-0.10046945098963565,0.18155539697114267
0.05310759988937526,-0.12592238379176726,-0.07890232843778033,0.21070734413483788
0.028835074181312526,-0.1325369548958467,-0.052683821101306684,0.2338061319815029
0.0029150674940306423,-0.13633176337969602,-0.02265536646544943,0.24975278158046899
-0.02383196261912499,-0.13697031144191207,0.01029001728803973,0.2575477099325527
-0.05049240461846721,-0.13420641302152367,0.045237959790574565,0.25620777481378876
-0.07606305493008392,-0.12788798239375695,0.08120860336724259,0.2447817244824786
-0.09946515771358211,-0.11796816910713473,0.11705789221146239,0.222500913377919
-0.11958263218719146,-0.10452755501630429,0.15136346695350936,0.1890638141498823
-0.1353328671330422,-0.08780565141534458,0.1823673651576262,0.14497232090990556
-0.14576435794124903,-0.0682316927724631,0.20806061765915973,0.09175563523710593
-0.15015885447989272,-0.04643833345895958,0.22643786978695563,0.03193055762880657
-0.1481094891765932,-0.02324433970037379,0.23584058717243434,-0.031311932860101505
-0.1395565914274327,0.00039545872612521866,0.2352434997482347,-0.09454972412782565
-0.1247808634386184,0.02346138972600921,0.22438175079999956,-0.15452477659187705
-0.1043666100257452,0.04494421778220069,0.20371082135612895,-0.208388001023602
-0.07915186881593692,0.06391022496334586,0.17425447341103978,-0.25377575318260653
-0.05018005144523241,0.0795485286781423,0.1374137250048666,-0.28875681696446237
-0.018660661692904344,0.09120032064792843,0.09480729212404518,-0.31173495941343043
0.014063808851836845,0.09837599944447441,0.04819537286130811,-0.32141674312352964
0.0465571167689855,0.10076942379488128,-0.00050442452910846,-0.3169244036795359
0.07734932967074318,0.0982765334935651,-0.049158195421746265,-0.29804740563196025
0.10502466252274359,0.09101825508992471,-0.0954061577700841,-0.2655236109648595
0.12832845040136007,0.07935813089858937,-0.1367894451399115,-0.22117976225998645
0.14626933210538898,0.06389944082419505,-0.17102800028947732,-0.16779910230907633
0.15818902258544068,0.04545055333186234,-0.19635380334083566,-0.10873210396656303
0.16378509023970922,0.024960609849693123,-0.2117447703162139,-0.04742433024139707
0.16309278970244984,0.003441234619471976,-0.21696341077771913,0.012939078212049182
0.15644446736200357,-0.018106573381402986,-0.21242902397522898,0.06959298871603292
0.1444230768465477,-0.03874875981970626,-0.19902967135795593,0.12021375357610563
0.12781647156426887,-0.0576567317890297,-0.17796497362416352,0.16290753904565478
0.1075709227275744,-0.07413311501759945,-0.1506474821778631,0.1962310096603385
0.08474033700375984,-0.08762975687401467,-0.11863997736366749,0.21924367525304764
0.06043088056758227,-0.09775978196212988,-0.08359402963869578,0.23154938172264414
0.03574506841468768,-0.10430278749247848,-0.047173717122325896,0.23328754730130655
0.011731045404733378,-0.10720198548666868,-0.010974151303598696,0.2250691100581224
-0.010659061243467521,-0.10655376910499109,0.023545413252252317,0.20788365716564156
-0.03060106150947484,-0.10259177375620561,0.05510468290710842,0.183008795474611
-0.04742223696554226,-0.09566761184801637,0.08262764384680478,0.15193517270209145
-0.060617882641356764,-0.08622955433115824,0.10525954718937232,0.11630291259644242
-0.06986140273932924,-0.07479975191794375,0.12237916507962368,0.07784038125093128
-0.07500780127366233,-0.061950465501244674,0.13360633061450922,0.03829931054860773
-0.07609013312492137,-0.04827976780828575,0.13880511789337618,-0.0006149560212663366
-0.07330872952639424,-0.034387146107546326,0.13808249093538658,-0.03731382582543343
-0.06701371547555282,-0.020849534135154724,0.13178067655195286,-0.07038868296991357
-0.05768203061786338,-0.008198516463692206,0.12046096566548736,-0.09866109194058909
-0.04589041097298634,0.0031003493868970384,0.1048773841084796,-0.12121916722360605
